PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
10219, 181, 482, 1065
162554, 672, 1063, 2120
305351, 1019, 1177, 2294
448003, 1365, 1281, 2400
591920, 1713, 1381, 2507
734923, 2047, 1481, 2609
877669, 2358, 1581, 2722
1021028, 2656, 1681, 2823
1163866, 2967, 1781, 2927
1307372, 3294, 1890, 3044
1450925, 3624, 1994, 3154
1593253, 3935, 2098, 3262
1736365, 4293, 2210, 3374
1879612, 4611, 2314, 3478
2022304, 4939, 2418, 3586
2170400, 5397, 2542, 3798
2313933, 5851, 2644, 4033
2457240, 6227, 2747, 4200
2600032, 6574, 2847, 4322
2742455, 6907, 2979, 4477
2884968, 7223, 3089, 4587
3027635, 7545, 3192, 4744
3170291, 7871, 3292, 4894
3314059, 8178, 3392, 5054
3456500, 8506, 3492, 5206
3599280, 8818, 3592, 5354
3742430, 9160, 3697, 5522
3886081, 9486, 3797, 5699
4028887, 9818, 3897, 5857
4170470, 10159, 4000, 6010
4313684, 10485, 4100, 6179
4457133, 10808, 4203, 6354
4600302, 11139, 4303, 6508
4743689, 11464, 4404, 6664
4886690, 11819, 4504, 6816
5029789, 12133, 4604, 6968
5172742, 12470, 4704, 7122
5319719, 12864, 4805, 7281
5464366, 13262, 4905, 7393
5607071, 13597, 5005, 7499
5750627, 13930, 5105, 7603
5893971, 14254, 5205, 7707
6035967, 14568, 5305, 7811
6179188, 14891, 5405, 7931
6322169, 15226, 5506, 8032
6465049, 15550, 5606, 8136
6607881, 15903, 5706, 8243
6752078, 16230, 5806, 8347
6894310, 16541, 5906, 8450
7037345, 16857, 6006, 8554
7180616, 17211, 6108, 8658
7326961, 17552, 6218, 8773
7470921, 17885, 6321, 8877
7615098, 18215, 6422, 8979
7758820, 18541, 6522, 9081
7904019, 18875, 6622, 9183
8048382, 19212, 6722, 9285
8193028, 19531, 6822, 9387
8338490, 19872, 6922, 9487
8482058, 20200, 7022, 9593
8626697, 20547, 7122, 9693
8770549, 20882, 7222, 9793
8914519, 21206, 7322, 9897
9059373, 21537, 7422, 9997
9210009, 21977, 7523, 10106
9353396, 22331, 7623, 10217
9497157, 22663, 7723, 10317
9646038, 22980, 7823, 10419
9803995, 23199, 7923, 10521
9961213, 23423, 8023, 10626
10118328, 23658, 8123, 10726
10276375, 23868, 8223, 10826
10434130, 24087, 8323, 10926
10589474, 24311, 8423, 11026
10746751, 24554, 8523, 11126
10904918, 24791, 8623, 11228
11062729, 25008, 8723, 11328
11220601, 25267, 8823, 11428
11378047, 25502, 8923, 11534
11536195, 25737, 9023, 11634
11694382, 25976, 9123, 11738
11851949, 26209, 9223, 11838
12008401, 26418, 9323, 11949
12166577, 26613, 9423, 12053
12323269, 26816, 9523, 12161
12481221, 27034, 9623, 12261
12638929, 27234, 9723, 12365
12796885, 27440, 9823, 12466
12954683, 27670, 9923, 12566
13112486, 27880, 10023, 12670
13267791, 28088, 10123, 12770
13425329, 28285, 10223, 12874
13582991, 28503, 10323, 12978
13740754, 28737, 10423, 13086
13899398, 28942, 10523, 13190
14057237, 29154, 10623, 13305
14214461, 29376, 10723, 13409
14372820, 29585, 10823, 13513
14530996, 29798, 10923, 13613
14688639, 29996, 11023, 13713
14846907, 30180, 11123, 13813
15004319, 30396, 11223, 13913
15160643, 30617, 11323, 14013
15318859, 30881, 11423, 14113
15476808, 31103, 11523, 14213
15634500, 31320, 11623, 14316
15792437, 31551, 11723, 14416
15948851, 31767, 11823, 14516
16104186, 31999, 11923, 14616
16261623, 32204, 12023, 14716
16419260, 32439, 12123, 14816
16576446, 32656, 12223, 14916
16733718, 32868, 12323, 15016
16890784, 33077, 12423, 15116
17049518, 33335, 12523, 15216
17207431, 33550, 12623, 15316
17365610, 33776, 12723, 15416
17522236, 33986, 12823, 15516
17680071, 34228, 12923, 15617
17837156, 34469, 13023, 15717
17993799, 34690, 13123, 15817
18151865, 34909, 13223, 15917
18308270, 35121, 13323, 16017
18464984, 35337, 13427, 16124
18623007, 35585, 13531, 16228
18780747, 35804, 13631, 16328
18938523, 36039, 13731, 16428
19095902, 36245, 13831, 16528
19252674, 36446, 13931, 16628
19410305, 36668, 14031, 16728
19568443, 36890, 14131, 16828
19726722, 37118, 14231, 16928
19884758, 37319, 14331, 17028
20041804, 37531, 14431, 17128
20200279, 37747, 14531, 17228
20358084, 37981, 14631, 17370
20516041, 38164, 14731, 17520
20674090, 38384, 14831, 17674
20830502, 38568, 14931, 17822
20986525, 38781, 15031, 17970
21144431, 38999, 15131, 18120
21306721, 39303, 15235, 18318
21464537, 39614, 15335, 18455
21622945, 39849, 15435, 18557
21783459, 40269, 15611, 19392
21940769, 40555, 15711, 19608
22099276, 40818, 15811, 19743
22256783, 41084, 15911, 19885
22414993, 41313, 16011, 20044
22571887, 41539, 16111, 20209
22730450, 41758, 16211, 20380
22886796, 41997, 16321, 20564
23044677, 42228, 16429, 20720
23202882, 42459, 16533, 20872
23360806, 42680, 16635, 21022
23518592, 42902, 16737, 21185
23674763, 43127, 16847, 21346
23832943, 43347, 16949, 21496
23989135, 43594, 17049, 21648
24147390, 43789, 17149, 21804
24305551, 44008, 17253, 21956
24460452, 44227, 17353, 22104
24618771, 44514, 17453, 22229
24775626, 44781, 17553, 22356
24933380, 44996, 17653, 22487
25091467, 45203, 17753, 22597
25248338, 45419, 17853, 22701
25405569, 45635, 17953, 22806
25563270, 45851, 18053, 22906
25721571, 46101, 18153, 23006
25880022, 46355, 18253, 23110
26035790, 46572, 18353, 23210
26193220, 46803, 18453, 23310
26351092, 47040, 18553, 23410
26508456, 47253, 18653, 23510
26666311, 47489, 18753, 23610
26821807, 47696, 18853, 23710
26978961, 47894, 18953, 23810
27136787, 48127, 19053, 23912
27294143, 48331, 19153, 24012
27451256, 48562, 19253, 24112
27609051, 48761, 19353, 24212
27766528, 48992, 19453, 24312
27923280, 49221, 19553, 24412
28081274, 49427, 19653, 24512
28239242, 49675, 19753, 24612
28396566, 49904, 19853, 24712
28553449, 50113, 19953, 24812
28711169, 50327, 20056, 24915
28868739, 50528, 20156, 25015
29027425, 50774, 20256, 25118
29184849, 50991, 20360, 25235
29343048, 51221, 20460, 25335
29500876, 51443, 20560, 25435
29658856, 51643, 20660, 25535
29816314, 51844, 20760, 25635
29974663, 52088, 20860, 25735
30132543, 52320, 20960, 25835
30290301, 52535, 21060, 25935
30448213, 52739, 21160, 26035
30606669, 52986, 21260, 26135
30763709, 53228, 21360, 26235
30922020, 53439, 21460, 26349
31079922, 53660, 21560, 26449
31238024, 53875, 21660, 26549
31395682, 54084, 21760, 26649
31554086, 54296, 21860, 26749
31710073, 54508, 21960, 26853
31866328, 54725, 22060, 26953
32024442, 54940, 22160, 27053
32182417, 55152, 22260, 27153
32338434, 55348, 22360, 27253
32496284, 55559, 22460, 27353
32654944, 55805, 22560, 27453
32812125, 56030, 22660, 27553
32970363, 56272, 22760, 27653
33128387, 56474, 22860, 27753
33285961, 56693, 22960, 27853
33444605, 56912, 23060, 27953
33601638, 57133, 23160, 28053
33760166, 57360, 23260, 28155
33917689, 57599, 23360, 28303
34075873, 57836, 23460, 28459
34233811, 58045, 23560, 28607
34401019, 58369, 23661, 28825
34563495, 58700, 23821, 29109
34718944, 58952, 23923, 29239
34877456, 59212, 24025, 29348
35034056, 59428, 24125, 29456
35191670, 59638, 24225, 29562
35349772, 59862, 24325, 29672
35506652, 60095, 24425, 29777
35663854, 60376, 24525, 29885
35821985, 60609, 24625, 29997
35979693, 60842, 24725, 30097
36137438, 61054, 24825, 30197
36295271, 61270, 24925, 30299
36453946, 61501, 25025, 30399
36611563, 61720, 25125, 30508
36768916, 61946, 25225, 30611
36925732, 62176, 25325, 30719
37083643, 62381, 25425, 30823
37241627, 62585, 25525, 30927
37400071, 62800, 25625, 31027
37557234, 63016, 25725, 31127
37715908, 63220, 25825, 31288
37875152, 63437, 25925, 31436
38032770, 63655, 26025, 31590
38189006, 63887, 26125, 31740
38345814, 64119, 26225, 31888
38503864, 64329, 26329, 32040
38661742, 64540, 26429, 32194
38818672, 64757, 26529, 32344
38977426, 64970, 26629, 32492
39135497, 65197, 26729, 32640
39293072, 65402, 26829, 32796
39450994, 65630, 26929, 32944
39608911, 65854, 27029, 33092
39766618, 66063, 27129, 33242
39921543, 66254, 27229, 33396
40079888, 66472, 27329, 33544
40237066, 66676, 27429, 33692
40394776, 66909, 27529, 33842
40550849, 67125, 27629, 33996
40708069, 67323, 27729, 34144
40865694, 67539, 27829, 34292
41022197, 67758, 27929, 34442
41180199, 67985, 28029, 34596
41338138, 68224, 28129, 34744
41495973, 68435, 28229, 34892
41654097, 68641, 28329, 35042
41811838, 68873, 28429, 35196
41969746, 69089, 28529, 35344
42128149, 69308, 28629, 35492
42284258, 69537, 28729, 35642
42440123, 69747, 28829, 35803
42597751, 69972, 28929, 35960
42755211, 70203, 29029, 36114
42912446, 70413, 29129, 36275
43067503, 70614, 29229, 36427
43225476, 70873, 29329, 36575
43382591, 71223, 29431, 36978
43539079, 71501, 29537, 37156
43697257, 71769, 29637, 37282
43854817, 71987, 29737, 37403
44012968, 72241, 29837, 37570
44170975, 72470, 29937, 37726
44328289, 72699, 30037, 37882
44485138, 72894, 30137, 38030
44641158, 73125, 30237, 38178
44799164, 73362, 30337, 38326
44957017, 73553, 30437, 38482
45115332, 73793, 30537, 38630
45273121, 74024, 30637, 38778
45430278, 74255, 30737, 38926
45588936, 74481, 30837, 39082
45745186, 74719, 30937, 39230
45902959, 74914, 31039, 39380
46060691, 75131, 31139, 39528
46217694, 75344, 31239, 39684
46375202, 75568, 31339, 39832
46530136, 75820, 31439, 39980
46688035, 76048, 31539, 40128
46844592, 76280, 31639, 40284
47002208, 76500, 31739, 40432
47160391, 76723, 31839, 40582
47316944, 76945, 31939, 40730
47474126, 77126, 32039, 40887
47636272, 77455, 32139, 41103
47793312, 77699, 32239, 41315
47950454, 77952, 32339, 41473
48108381, 78171, 32439, 41621
48265825, 78411, 32539, 41769
48423867, 78629, 32639, 41919
48581769, 78828, 32739, 42077
48739516, 79063, 32839, 42228
48897674, 79286, 32939, 42376
49055007, 79518, 33039, 42526
49211751, 79728, 33139, 42682
49369706, 79966, 33241, 42832
49525661, 80187, 33341, 42980
49684145, 80401, 33441, 43128
49841667, 80620, 33545, 43294
50030496, 81114, 33693, 44255
50202334, 81922, 33853, 46657
50361912, 82293, 33959, 47459
50518951, 82525, 34059, 47606
50673637, 82770, 34159, 47723
50831864, 83030, 34259, 47842
50989890, 83271, 34359, 47954
51147326, 83479, 34459, 48056
51305068, 83704, 34559, 48160
51462509, 83916, 34659, 48261
51620283, 84156, 34759, 48361
51777013, 84380, 34859, 48471
51932487, 84578, 34959, 48574
52088061, 84784, 35059, 48680
52242032, 85008, 35159, 48784
52398101, 85238, 35259, 48892
52555964, 85454, 35359, 48996
52713694, 85670, 35463, 49104
52870538, 85948, 35567, 49244
53045041, 86528, 35669, 50445
53274738, 87555, 35776, 52810
53437907, 87888, 35879, 53436
53624256, 88291, 35980, 53786
53781808, 88565, 36082, 53995
53939182, 88816, 36182, 54125
54096438, 89066, 36282, 54259
54253974, 89284, 36382, 54373
54412109, 89505, 36482, 54473
54569249, 89693, 36582, 54581
54726711, 89923, 36682, 54692
54884262, 90137, 36782, 54799
55041865, 90384, 36882, 54899
55224405, 90739, 36985, 55223
55439043, 91528, 37092, 56906
55598497, 91864, 37196, 57576
55755725, 92126, 37296, 57751
55913715, 92340, 37396, 57863
56072248, 92579, 37496, 57982
56229599, 92821, 37596, 58086
56387157, 93047, 37696, 58196
56545797, 93289, 37796, 58304
56703750, 93515, 37896, 58411
56861422, 93741, 37996, 58519
57019511, 93971, 38100, 58635
57177421, 94205, 38200, 58739
57335263, 94416, 38300, 58847
57493483, 94615, 38400, 58959
57651218, 94857, 38500, 59067
57807874, 95062, 38600, 59171
57965408, 95284, 38700, 59275
58124748, 95509, 38800, 59379
58335233, 96354, 38904, 61130
58501426, 96760, 39008, 61983
58668346, 97117, 39108, 62283
58826016, 97405, 39208, 62465
58984436, 97621, 39308, 62589
59141911, 97874, 39408, 62703
59299245, 98105, 39508, 62827
59455237, 98333, 39608, 62940
59615600, 98674, 39709, 63237
59773495, 98994, 39809, 63585
59931791, 99245, 39910, 63761
60089133, 99488, 40021, 63920
60245795, 99723, 40126, 64036
60404045, 99946, 40226, 64144
60561688, 100184, 40328, 64250
60718939, 100406, 40428, 64361
60876732, 100642, 40528, 64463
61034117, 100844, 40628, 64563
61191633, 101060, 40728, 64663
61349117, 101278, 40828, 64770
61507448, 101500, 40928, 64872
61665339, 101728, 41028, 64972
61823443, 101966, 41128, 65072
61981231, 102185, 41228, 65172
62139106, 102421, 41328, 65279
62297003, 102642, 41428, 65379
62455353, 102871, 41528, 65479
62613205, 103092, 41628, 65579
62771108, 103293, 41728, 65679
62928582, 103508, 41828, 65779
63085383, 103730, 41928, 65879
63243143, 103958, 42028, 65979
63401116, 104167, 42128, 66079
63559176, 104384, 42228, 66183
63716747, 104590, 42328, 66283
63872967, 104778, 42428, 66383
64031158, 104993, 42528, 66490
64189291, 105202, 42628, 66653
64346566, 105424, 42728, 66807
64504380, 105654, 42828, 66959
64663004, 105888, 42930, 67125
64820828, 106090, 43030, 67273
64979417, 106458, 43135, 68125
65137938, 106770, 43235, 68415
65295944, 107008, 43335, 68589
65452443, 107227, 43435, 68761
65610085, 107495, 43535, 68916
65767788, 107727, 43635, 69069
65925744, 107974, 43735, 69231
66084345, 108199, 43835, 69385
66240782, 108442, 43935, 69533
66396796, 108685, 44035, 69681
66552943, 108910, 44135, 69835
66709365, 109146, 44235, 69991
66867338, 109394, 44335, 70139
67024636, 109623, 44435, 70287
67182670, 109873, 44535, 70441
67341192, 110128, 44635, 70600
67498772, 110391, 44735, 70762
67656110, 110630, 44835, 70927
67811958, 110838, 44935, 71079
67969895, 111043, 45035, 71237
68127522, 111277, 45135, 71387
68284568, 111485, 45235, 71539
68441835, 111706, 45335, 71693
68599169, 111932, 45435, 71851
68755565, 112143, 45535, 71999
68914335, 112346, 45635, 72147
69071631, 112555, 45735, 72301
69229730, 112750, 45835, 72455
