PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
10722, 165, 455, 1070
163964, 643, 1098, 2221
308341, 994, 1263, 2410
452152, 1356, 1396, 2569
595831, 1683, 1529, 2724
739221, 1994, 1643, 2845
882612, 2367, 1751, 2964
1026048, 2703, 1863, 3084
1169749, 3021, 1972, 3215
1313401, 3346, 2082, 3329
1456658, 3703, 2191, 3442
1599358, 4046, 2291, 3550
1742620, 4400, 2393, 3656
1888912, 4911, 2507, 4006
2032661, 5341, 2670, 4356
2175858, 5693, 2770, 4489
2318750, 6066, 2870, 4615
2461793, 6405, 2972, 4734
2604716, 6754, 3079, 4860
2748510, 7111, 3179, 4976
2891378, 7418, 3286, 5096
3035244, 7771, 3386, 5202
3178736, 8132, 3491, 5316
3322430, 8458, 3591, 5437
3465774, 8812, 3694, 5556
3609439, 9170, 3794, 5664
3753180, 9508, 3902, 5772
3896707, 9856, 4002, 5880
4040232, 10180, 4102, 5984
4183198, 10509, 4202, 6092
4326314, 10843, 4303, 6197
4470094, 11200, 4403, 6312
4614153, 11554, 4503, 6420
4757242, 11916, 4603, 6530
4900081, 12255, 4703, 6634
5046989, 12688, 4803, 6811
5189523, 13115, 4903, 6992
5334348, 13489, 5005, 7114
5478771, 13847, 5109, 7234
5622489, 14196, 5213, 7350
5766095, 14556, 5317, 7470
5909465, 14889, 5421, 7579
6052705, 15260, 5534, 7694
6195835, 15580, 5640, 7804
6339788, 15908, 5742, 7912
6483487, 16278, 5847, 8017
6627285, 16604, 5949, 8121
6769984, 16952, 6051, 8225
6913656, 17295, 6151, 8327
7060255, 17603, 6251, 8427
7205667, 17954, 6351, 8528
7350491, 18302, 6451, 8632
7495266, 18639, 6551, 8739
7640216, 18979, 6651, 8839
7785007, 19326, 6751, 8943
7929979, 19689, 6851, 9049
8074290, 20018, 6951, 9153
8219688, 20340, 7051, 9257
8364579, 20694, 7153, 9367
8509641, 21037, 7253, 9467
8653921, 21394, 7353, 9569
8801867, 21803, 7453, 9729
8946224, 22255, 7556, 9936
9090983, 22627, 7656, 10063
9237094, 22970, 7756, 10182
9382079, 23290, 7856, 10295
9526102, 23627, 7959, 10408
9670984, 23960, 8059, 10519
9815755, 24315, 8159, 10643
9960018, 24656, 8259, 10755
10105946, 24981, 8359, 10861
10250808, 25322, 8459, 10964
10394871, 25644, 8562, 11076
10540111, 25990, 8662, 11195
10684743, 26326, 8762, 11300
10829864, 26669, 8862, 11402
10974277, 27009, 8962, 11502
11118548, 27364, 9062, 11606
11263684, 27715, 9162, 11710
11408625, 28060, 9270, 11818
11553408, 28408, 9370, 11918
11699172, 28766, 9470, 12018
11844529, 29090, 9570, 12118
11989423, 29390, 9670, 12218
12134744, 29739, 9770, 12318
12279525, 30073, 9870, 12461
12425255, 30432, 9970, 12565
12570170, 30773, 10070, 12665
12715553, 31130, 10174, 12769
12859826, 31476, 10274, 12871
13008987, 31755, 10374, 12971
13155672, 32001, 10474, 13071
13302053, 32244, 10576, 13173
13446628, 32477, 10676, 13277
13592347, 32686, 10778, 13379
13737825, 32934, 10878, 13481
13887066, 33261, 10978, 13625
14034596, 33546, 11080, 13764
14182210, 33780, 11180, 13895
14330863, 34048, 11280, 14019
14479103, 34303, 11380, 14137
14627209, 34573, 11480, 14249
14774162, 34807, 11580, 14357
14920518, 35050, 11680, 14464
15066067, 35298, 11780, 14566
15211238, 35516, 11880, 14673
15358644, 35756, 11980, 14775
15505168, 36006, 12080, 14879
15650740, 36255, 12180, 14987
15798009, 36488, 12280, 15089
15942814, 36714, 12380, 15193
16089923, 36945, 12480, 15293
16235111, 37146, 12580, 15399
16380593, 37364, 12680, 15499
16525836, 37572, 12780, 15602
16673009, 37835, 12880, 15702
16817533, 38065, 12980, 15806
16964310, 38275, 13082, 15908
17109196, 38506, 13182, 16012
17256876, 38742, 13282, 16112
17402678, 38957, 13382, 16212
17548098, 39161, 13482, 16319
17695408, 39370, 13584, 16421
17843016, 39600, 13684, 16527
17990802, 39836, 13784, 16629
