PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
10961, 177, 522, 1150
161579, 694, 1226, 2300
303692, 1062, 1349, 2453
445715, 1407, 1458, 2566
586731, 1729, 1558, 2670
728208, 2059, 1660, 2786
880556, 2590, 1847, 3290
1071707, 3359, 1982, 4257
1288172, 4282, 2125, 5367
1519778, 5400, 2300, 6169
1750593, 6604, 2443, 6909
1963533, 7583, 2558, 7474
2167615, 8407, 2690, 8578
2369996, 9178, 2810, 9808
2575408, 10044, 2936, 11161
2783735, 10896, 3059, 12541
2958871, 11556, 3197, 13607
3121843, 12109, 3339, 14463
3290009, 12761, 3495, 15460
3433654, 13191, 3644, 15952
3584443, 13540, 3758, 16146
3743761, 13791, 3878, 16288
3905137, 14059, 3994, 16421
4063491, 14298, 4105, 16546
4222631, 14522, 4228, 16678
4380256, 14727, 4358, 16811
4545781, 15017, 4483, 16990
4761488, 15667, 4614, 17720
4929085, 16105, 4860, 18582
5086966, 16426, 4978, 18913
5245951, 16814, 5183, 19554
5403194, 17161, 5361, 20011
5559216, 17434, 5475, 20265
5715320, 17703, 5592, 20449
5872544, 17995, 5706, 20641
6030444, 18234, 5826, 20813
6186123, 18492, 5939, 20989
6343412, 18728, 6049, 21163
6499666, 18954, 6153, 21315
6657116, 19189, 6259, 21469
6814859, 19417, 6361, 21625
6973533, 19668, 6467, 21781
7129483, 19916, 6567, 21929
7287460, 20153, 6671, 22083
7445910, 20408, 6778, 22244
7600343, 20645, 6878, 22394
7758069, 20914, 6982, 22546
7916930, 21133, 7082, 22694
8074196, 21368, 7186, 22854
8231625, 21604, 7286, 23002
8389190, 21834, 7392, 23156
8548099, 22081, 7494, 23310
8703864, 22321, 7594, 23462
8861721, 22528, 7700, 23618
9020298, 22747, 7800, 23766
9173428, 22984, 7904, 23928
9327795, 23220, 8004, 24078
9485771, 23427, 8106, 24230
9643940, 23662, 8206, 24378
9801911, 23922, 8310, 24538
9958291, 24156, 8410, 24686
10114078, 24383, 8510, 24834
10271209, 24603, 8614, 24988
10428549, 24825, 8714, 25142
10586665, 25066, 8818, 25294
10744147, 25305, 8918, 25442
10902526, 25516, 9018, 25596
11060198, 25728, 9118, 25750
11216369, 25974, 9220, 25902
11374469, 26207, 9320, 26050
11531271, 26438, 9420, 26200
11687257, 26671, 9522, 26358
11845004, 26911, 9622, 26506
12001749, 27139, 9726, 26658
12159862, 27397, 9826, 26812
12315382, 27621, 9931, 26973
12473856, 27863, 10031, 27121
12631613, 28115, 10133, 27273
12788078, 28345, 10233, 27429
12945667, 28617, 10337, 27581
13103928, 28846, 10437, 27731
13258798, 29059, 10539, 27889
13416388, 29317, 10641, 28044
13574590, 29538, 10741, 28180
13729313, 29766, 10843, 28324
13885972, 29994, 10943, 28462
14041639, 30231, 11045, 28602
14200706, 30501, 11145, 28738
14356407, 30717, 11245, 28882
14512503, 30946, 11351, 29026
14670465, 31191, 11451, 29162
14828629, 31448, 11551, 29298
14984129, 31674, 11651, 29440
15141388, 31890, 11751, 29576
15299687, 32124, 11851, 29712
15457434, 32391, 11953, 29850
15615132, 32625, 12053, 29992
15770754, 32871, 12153, 30128
15925230, 33092, 12253, 30264
16081615, 33340, 12357, 30404
16236086, 33579, 12457, 30546
16390152, 33824, 12560, 30692
16544913, 34096, 12660, 30828
16703661, 34330, 12760, 30964
16861448, 34528, 12864, 31110
17017526, 34777, 12972, 31254
17175952, 34994, 13084, 31402
17333442, 35226, 13184, 31538
17491403, 35472, 13288, 31684
17648789, 35687, 13388, 31820
17804339, 35939, 13488, 31956
17960471, 36174, 13588, 32092
18116773, 36418, 13688, 32234
18274268, 36654, 13788, 32370
18435057, 37011, 13888, 32686
18590042, 37315, 13994, 32910
18747139, 37587, 14096, 33045
18901980, 37842, 14198, 33163
19059328, 38112, 14300, 33282
19216511, 38349, 14401, 33402
19370954, 38600, 14506, 33524
19526686, 38857, 14607, 33633
19684156, 39110, 14707, 33738
19839072, 39343, 14807, 33842
19994839, 39579, 14907, 33944
20151250, 39819, 15007, 34044
20308485, 40046, 15107, 34146
20464732, 40279, 15207, 34246
20622067, 40515, 15307, 34346
20779187, 40752, 15407, 34446
20936806, 41006, 15509, 34552
21093260, 41258, 15609, 34658
21248746, 41502, 15709, 34765
21406226, 41753, 15809, 34873
21563700, 41983, 15909, 34973
21718300, 42223, 16009, 35073
21874938, 42483, 16109, 35173
22033396, 42727, 16209, 35273
22190998, 42978, 16309, 35373
22350391, 43236, 16419, 35489
22506849, 43490, 16519, 35589
22666852, 43934, 16717, 36735
22824736, 44257, 16874, 37155
22982319, 44529, 16980, 37343
23139092, 44806, 17086, 37513
23296946, 45045, 17186, 37684
23453021, 45311, 17286, 37845
23611062, 45587, 17388, 38010
23769166, 45867, 17494, 38187
23925527, 46122, 17598, 38348
24081676, 46384, 17700, 38504
24239106, 46592, 17800, 38658
24396674, 46851, 17905, 38818
24553579, 47120, 18005, 38966
24711019, 47381, 18110, 39126
24868084, 47640, 18214, 39282
25026326, 47902, 18318, 39434
25182348, 48172, 18422, 39586
25339676, 48419, 18526, 39746
25495122, 48644, 18630, 39904
25652121, 48868, 18734, 40069
25806180, 49098, 18834, 40221
25964005, 49352, 18937, 40381
26121035, 49577, 19039, 40531
26278412, 49806, 19141, 40681
26436334, 50049, 19243, 40833
26591854, 50273, 19343, 40987
26747971, 50533, 19443, 41135
26903778, 50775, 19545, 41285
27061262, 51010, 19645, 41439
27214541, 51248, 19745, 41598
27371351, 51493, 19845, 41749
27529207, 51738, 19947, 41916
27685784, 52001, 20047, 42072
27841684, 52236, 20147, 42222
28000383, 52467, 20249, 42377
28156409, 52689, 20349, 42538
28311566, 52924, 20449, 42694
28468871, 53158, 20550, 42848
28623767, 53395, 20650, 42998
28778867, 53647, 20750, 43146
28936115, 53865, 20850, 43303
29093764, 54115, 20950, 43451
29251117, 54364, 21050, 43599
29407221, 54584, 21152, 43751
29562878, 54856, 21252, 43905
29718619, 55102, 21352, 44053
29874791, 55347, 21452, 44201
30031498, 55585, 21552, 44353
30186098, 55809, 21652, 44505
30343263, 56046, 21752, 44653
30501829, 56294, 21852, 44801
30659227, 56530, 21952, 44957
30815006, 56741, 22052, 45107
30972765, 56983, 22154, 45257
31128915, 57189, 22254, 45405
31286327, 57425, 22354, 45561
31449522, 57724, 22455, 45783
31603595, 58065, 22557, 46117
31761508, 58350, 22659, 46286
31919716, 58608, 22759, 46410
32074572, 58875, 22859, 46542
32229835, 59129, 22959, 46662
32383989, 59364, 23059, 46774
32541128, 59612, 23160, 46883
32698663, 59884, 23261, 46995
32856546, 60116, 23361, 47099
33013962, 60367, 23461, 47201
33172214, 60590, 23561, 47306
33328434, 60802, 23661, 47406
33486440, 61035, 23761, 47510
33644905, 61248, 23861, 47612
33802264, 61472, 23961, 47718
33960453, 61705, 24061, 47821
34116909, 61950, 24161, 47923
34271939, 62188, 24261, 48023
34427901, 62392, 24361, 48129
34583956, 62628, 24461, 48229
34742505, 62898, 24562, 48335
34900191, 63138, 24662, 48438
35058013, 63378, 24762, 48538
35215114, 63606, 24862, 48638
35372368, 63838, 24962, 48741
35574634, 64176, 25065, 49037
35795159, 64804, 25190, 49986
35952257, 65120, 25305, 50593
36110345, 65417, 25411, 50811
36266060, 65660, 25516, 50975
36421747, 65907, 25616, 51101
36577548, 66143, 25716, 51225
36735363, 66383, 25818, 51352
36891624, 66616, 25918, 51465
37045634, 66878, 26027, 51585
37201481, 67109, 26127, 51692
37359671, 67330, 26227, 51802
37517026, 67565, 26327, 51923
37674126, 67806, 26427, 52023
37829978, 68013, 26527, 52129
37986561, 68254, 26627, 52231
38142511, 68497, 26727, 52340
38299440, 68726, 26827, 52444
38456858, 68978, 26927, 52554
38614907, 69196, 27027, 52660
38773143, 69413, 27127, 52760
38932577, 69656, 27227, 52865
39089853, 69890, 27328, 52972
39246933, 70140, 27428, 53072
39404857, 70379, 27528, 53176
39561620, 70617, 27628, 53276
39716867, 70827, 27728, 53376
39874503, 71070, 27828, 53476
40030138, 71322, 27928, 53583
40184753, 71561, 28028, 53685
40341101, 71807, 28130, 53792
40498105, 72040, 28230, 53892
40655958, 72292, 28330, 53992
40813064, 72546, 28430, 54092
40969633, 72794, 28530, 54192
41127969, 73043, 28630, 54297
41284386, 73270, 28730, 54397
41442352, 73506, 28830, 54497
41599189, 73750, 28930, 54597
41756979, 73998, 29030, 54697
41913725, 74217, 29130, 54797
42070320, 74455, 29230, 54897
42226028, 74674, 29330, 54997
42382160, 74881, 29430, 55097
42539240, 75106, 29530, 55197
42695908, 75331, 29630, 55304
42852409, 75551, 29730, 55404
43008982, 75747, 29830, 55504
43163639, 75985, 29930, 55609
43318505, 76203, 30030, 55709
43473226, 76433, 30130, 55809
43630859, 76686, 30230, 55960
43789048, 76894, 30330, 56060
43945334, 77115, 30442, 56203
44100924, 77310, 30542, 56353
44259849, 77699, 30651, 57308
44417628, 77962, 30752, 57604
44574793, 78305, 30852, 57888
44733549, 78675, 30959, 58287
44892364, 78949, 31061, 58434
45047293, 79196, 31161, 58546
45201758, 79428, 31261, 58666
45359261, 79675, 31361, 58780
45516154, 79933, 31461, 58894
45673573, 80186, 31569, 59025
45859268, 80598, 31669, 59483
46064651, 81104, 31789, 60429
46301772, 81886, 31905, 61358
46541133, 82678, 32006, 61859
46784006, 83540, 32130, 62372
46993407, 84192, 32233, 63029
47205863, 84826, 32350, 64019
47420837, 85414, 32455, 65241
47636342, 86088, 32572, 66494
47852375, 86682, 32676, 67672
48018744, 87089, 32808, 68569
48175335, 87372, 32908, 68826
48330527, 87599, 33011, 69000
48525849, 88135, 33142, 69810
48682351, 88439, 33251, 70387
48843137, 88713, 33353, 70587
49002291, 88968, 33455, 70702
49161432, 89208, 33557, 70816
49320256, 89479, 33660, 70921
49476565, 89731, 33764, 71033
49682810, 90249, 33873, 71565
49858106, 90690, 34038, 72437
50016392, 91009, 34166, 72860
50175308, 91243, 34278, 73048
50333870, 91503, 34410, 73250
50491067, 91745, 34522, 73393
50648133, 91988, 34630, 73515
50806943, 92227, 34739, 73636
50963144, 92478, 34843, 73756
51119402, 92740, 34962, 73944
51277950, 92983, 35062, 74104
51432559, 93238, 35164, 74263
51590088, 93469, 35268, 74419
51748324, 93714, 35368, 74574
51904443, 93957, 35468, 74730
52061996, 94221, 35570, 74882
52220910, 94456, 35670, 75030
52378580, 94670, 35778, 75186
52534648, 94890, 35880, 75344
52692264, 95138, 35982, 75496
52848954, 95369, 36090, 75657
53005377, 95589, 36192, 75809
53161739, 95814, 36292, 75965
53317654, 96030, 36396, 76117
53476381, 96273, 36496, 76265
53632060, 96513, 36598, 76422
53790212, 96742, 36698, 76576
53946872, 96991, 36798, 76728
54104709, 97221, 36898, 76876
54260822, 97470, 37000, 77030
54417218, 97713, 37100, 77185
54575604, 97942, 37200, 77333
54731508, 98189, 37304, 77487
54886276, 98410, 37404, 77639
55044036, 98652, 37506, 77801
55198976, 98874, 37606, 77951
55356822, 99112, 37706, 78104
55514566, 99361, 37806, 78260
55672048, 99598, 37906, 78414
55825439, 99845, 38006, 78562
55982531, 100101, 38108, 78714
56137279, 100305, 38208, 78868
56292991, 100545, 38312, 79030
56450197, 100783, 38412, 79178
56607777, 101031, 38514, 79330
