481,112,600282918
50,10,600432164
53,29,600524385
490,55,600278853
263,14,599955137
397,18,600213446
62,0,600042990
538,62,600030243
404,41,600130891
678,285,600085840
138,23,600427058
522,143,600004376
1472,732,599887267
277,58,600245173
202,26,600362897
63,6,600195310
98,8,600352080
32,4,600580474
99,10,600113642
1058,586,598500422
138,67,599897925
111,36,600121734
111,17,600221562
152,33,600256023
48,18,600411528
157,28,600287751
203,135,600307122
1435,893,599585271
118,27,600321314
98,5,600379849
55,30,600663642
2,2,600313881
49,12,600099712
321,118,600402036
37,0,600317578
60,4,600692720
92,28,600366028
40,18,600309593
171,108,600368081
97,77,600507477
14,4,600271952
14,7,600132638
1791,1399,599019650
125,49,600481991
97,32,599914659
113,38,600244606
153,23,600281393
18,0,600276661
229,42,600240876
120,33,600299989
