7313931,1229976,719824403
7506185,1225416,723880317
7444567,1258073,731844798
7620508,1317976,727021240
7469207,1211434,724287037
7337354,1221196,716806599
7189855,1177677,717036464
7088588,1199528,749218126
7231901,1215927,750317858
7175438,1180962,736388601
7726207,1319194,723925380
7548191,1397930,722866357
7106189,1297531,752252730
7956322,1464486,730250250
7445985,1299884,748011925
7340965,1256033,736822694
7902189,1605017,742021729
9711435,3371486,807291977
7796256,1413501,720471465
7567872,1250254,725847936
7513800,1251104,725467126
7382826,1260523,716825321
7472376,1226178,727961023
7451041,1255588,734433612
7614862,1301485,730968794
7698759,1282733,741647445
7732379,1288150,751972074
7505150,1238700,755513127
7232193,1208056,770627599
7516092,1285575,774503802
7238576,1200517,757449379
7893959,1335444,751764189
7811009,1441118,747540547
7055267,1324648,766975462
7771660,1532786,742884963
7290295,1338548,752764389
7036162,1217311,713858380
7901670,1539487,749205570
10048695,3480940,831339817
8172421,1488894,752555674
7862875,1295899,755937309
7843309,1311197,755675920
7656700,1300749,747146041
7641048,1248410,743141824
7714152,1299824,765828801
8054346,1398505,764261135
7822289,1279960,761141552
7804628,1298332,765237099
7568473,1241489,767706038
7453121,1285176,785166559
