321,17,87,4,504
4033190,71170,16656501,54457,94875159
2708908,64863,12247246,40742,69786328
3916414,47073,17129515,55745,97551594
3895626,49015,16805629,54600,95711033
3906164,48705,16383912,53406,93322686
3908627,55603,16505077,53930,94020714
3763195,63024,15688991,52164,89476789
3839676,50872,16615627,54423,94690413
3891915,50562,16987420,55142,96777196
3924860,50931,17053441,55201,97120977
3815549,48962,17034102,55149,97027235
3982404,53211,15932358,51668,90762842
3994743,51544,16774516,54150,95506146
3973193,49945,16621464,53789,94641731
3816902,48579,16541722,53673,94503312
3894287,47596,16290797,52782,92855096
3785048,51472,16413664,53142,93520479
3856080,55132,16510167,53373,94071035
4014415,55292,16394443,52969,93337851
3940416,50857,16965483,54816,96696636
3702856,47546,16536163,54067,94123432
3690851,60122,15830394,52351,90177481
3823819,51854,16563773,53851,94324655
3772130,50842,16646738,54555,94807636
3883462,56763,16114948,52151,91718421
3601388,50420,16753520,54397,95629480
3560588,48970,16341735,53290,93239823
3793338,48617,16713458,54011,95260468
3882789,51546,16393405,52878,93403230
3698391,56329,16447346,53601,93757840
4085356,56459,16166431,52142,92063543
3829935,43454,16840107,54461,95922700
3865975,49573,16848755,54576,95993256
3942392,44710,16893314,54544,96226978
3626749,47639,16962616,55185,96678661
3925250,58782,16477278,53444,93874051
3983387,63322,16761381,54433,95509951
4074079,51620,16229141,52536,92441979
3963029,49639,16645158,54004,94836256
3787118,49140,16728230,54558,95317740
3857525,49595,16642597,54430,94804816
3766522,56824,16360535,53197,93205176
3638589,51652,16908476,55081,96481190
3454616,48978,16057260,52719,91740800
3731719,48932,16377912,53500,93487529
3636977,49485,16523393,53617,94220508
3570938,48268,15860725,51519,90413404
3418615,89851,16301680,53945,92891883
3764581,52518,16594625,53988,94609657
3815008,51706,16628713,53910,94721713
3744735,48154,16758359,54997,95645488
3926652,61540,16540805,54042,94261822
3844512,51366,16745397,54204,95376059
3888095,57075,16379464,53555,93277922
3778838,47663,16417172,53304,93487455
3739945,44981,16355841,52849,93167494
3550644,45872,16464092,53713,93831515
3830283,45872,16647761,54046,94870757
3582757,50743,16415947,53602,93564452
3839567,59622,16866894,55156,96108128
3723126,51763,17123566,55818,97577159
3838106,54058,16770335,54912,95590278
3843410,50350,16481974,53463,93897854
3866894,43829,16789551,54562,95651158
4028931,49157,16709528,54076,95188864
3880393,55038,16006761,52417,91174384
3967314,63721,16328884,53459,93052263
3771680,46469,16487892,53993,94224442
3730767,47641,16217532,53079,92564752
3752764,50059,16848703,54994,96086977
4115983,48753,16340504,53022,93193671
4005598,53437,16477177,53746,93882492
3936656,51810,16214868,52555,92347782
3796951,51860,16776536,54534,95604478
3823382,50591,17075400,55548,97296652
3871510,52009,16675634,54412,94998661
3598125,52076,16769753,54882,95550908
3910269,54882,16731555,54230,95283000
3707271,47281,16338013,53123,93049857
3731691,53601,16965140,55068,96617966
3764006,52886,16495934,53502,93920229
3600237,63824,17001916,55387,96853982
3747119,51974,16501366,53450,93960813
3727739,56807,16271906,52979,92828047
