2060852,66809,13345605
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1017546,22508,6272672
0,0,0
407711,18729,2658184
11494330,105513,68653394
17154554,108293,90918181
17411332,113886,93666583
16814480,86887,115680765
16742979,110471,109234679
16901646,126867,108983328
17579259,121837,91970352
17794263,105195,104128727
16635542,88176,115440382
17423715,120798,111613889
17211372,150833,102812932
17357147,117690,89606730
17466187,102776,110174278
15980152,97222,109092296
17970999,124163,116836323
17882444,140930,102485109
17330662,129469,88429320
17105637,98492,112966908
17090386,109510,109421537
17791753,125381,115030278
17800942,134326,97529873
17002892,120111,92704616
15981639,90718,118587994
17590597,119421,111020525
17253131,131638,110746161
16295822,143978,88520410
17790198,112473,105050483
11410012,107941,81690387
6156001,143490,42378988
4394068,111456,27785211
7116192,132946,48730199
7336796,139224,50106096
5448101,148577,33886146
2224855,158744,11438795
3413734,112739,20810678
2475733,116321,14016617
2697654,98643,13654705
1982054,150550,10291906
2309349,112763,12300070
937293,86259,3972371
227585,19009,886133
