148,27,396749040
454,77,393588041
230,54,396793197
70,4,396933626
13,0,396923791
631,173,395740632
32,5,396864338
2,0,396917708
43,10,396919102
4,4,396939352
26,2,396892200
25,6,396918100
25,0,396882295
25,0,396922363
36,9,396875944
17,0,396873259
381,75,395782257
446,87,393214278
1,1,396931381
12,11,396910601
21,5,396943783
0,0,396945265
117,53,396852910
85,14,396881182
9,0,396896010
0,0,396924426
0,0,396923811
5,1,396905631
0,0,396925794
11,5,396901725
25,6,396927107
45,2,396888533
768,117,392648407
52,13,396868392
25,6,396893430
1,1,396920856
3,1,396926494
8,7,396898304
0,0,396942563
31,10,396909427
67,4,396910680
55,22,396855841
0,0,396923742
113,14,396888183
23,6,396930840
45,16,396916826
7,0,396921528
639,114,392438835
266908,265824,394396029
175,49,397315315
