PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
9925, 168, 451, 1035
161251, 691, 1103, 2180
303003, 1077, 1253, 2355
444369, 1479, 1364, 2502
585845, 1853, 1479, 2624
726622, 2236, 1581, 2737
867455, 2609, 1681, 2847
1010035, 2978, 1783, 2957
1152243, 3349, 1883, 3062
1294071, 3739, 1983, 3171
1436192, 4129, 2083, 3277
1578000, 4493, 2186, 3392
1719796, 4882, 2291, 3503
1861939, 5251, 2395, 3617
2004212, 5623, 2495, 3726
2145855, 6002, 2595, 3835
2287642, 6379, 2696, 3949
2429701, 6757, 2796, 4055
2573750, 7296, 3019, 4564
2715920, 7718, 3127, 4811
2857709, 8101, 3227, 4940
2999977, 8463, 3327, 5047
3141473, 8844, 3427, 5163
3284065, 9217, 3527, 5291
3425477, 9598, 3628, 5412
3566430, 9956, 3728, 5519
3708122, 10317, 3828, 5621
3849936, 10668, 3928, 5724
3990647, 11010, 4028, 5840
4131800, 11372, 4128, 5950
4273782, 11744, 4228, 6060
4415248, 12115, 4328, 6169
4557286, 12489, 4428, 6291
4699048, 12870, 4528, 6398
4840829, 13253, 4628, 6498
4982804, 13639, 4737, 6637
5124471, 14023, 4837, 6795
5266409, 14396, 4944, 6950
5408621, 14774, 5044, 7098
5550148, 15122, 5152, 7254
5694762, 15607, 5264, 7503
5836887, 16022, 5365, 7678
5978038, 16413, 5465, 7780
6119680, 16777, 5565, 7880
6261445, 17167, 5665, 7980
6402803, 17553, 5765, 8094
6544146, 17925, 5865, 8204
6685923, 18326, 5965, 8306
6827780, 18690, 6065, 8406
6969506, 19046, 6165, 8506
7111398, 19395, 6265, 8606
7252713, 19762, 6365, 8706
7394919, 20135, 6465, 8806
7537404, 20477, 6565, 8906
7679122, 20871, 6665, 9006
7822459, 21230, 6765, 9106
7963582, 21610, 6865, 9206
8105646, 21973, 6965, 9307
8247478, 22339, 7065, 9407
8389323, 22712, 7165, 9507
8531994, 23094, 7265, 9609
8673435, 23466, 7365, 9709
