PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
20334, 209, 892, 1465
191279, 616, 1586, 2603
350481, 981, 1770, 2884
510147, 1332, 1904, 3178
668297, 1820, 2109, 4030
826673, 2172, 2347, 4594
982769, 2517, 2501, 4843
1140445, 2806, 2638, 5026
1295731, 3094, 2765, 5194
1452359, 3413, 2904, 5368
1609866, 3684, 3034, 5515
1767691, 3965, 3162, 5666
1924791, 4262, 3307, 5857
2081253, 4541, 3427, 6007
2238187, 4825, 3543, 6144
2394814, 5130, 3653, 6271
2551693, 5413, 3773, 6402
2708891, 5704, 3880, 6518
2867260, 5993, 3984, 6626
3025093, 6295, 4096, 6751
3182681, 6580, 4202, 6859
3337552, 6879, 4306, 6966
3492050, 7178, 4414, 7089
3649297, 7438, 4518, 7206
3803597, 7743, 4620, 7322
3961793, 8048, 4722, 7438
4117768, 8347, 4826, 7545
4274470, 8661, 4933, 7675
4430935, 8961, 5033, 7781
4587090, 9281, 5133, 7890
4743121, 9588, 5233, 7996
4901589, 9885, 5335, 8106
5059580, 10179, 5435, 8219
5215677, 10488, 5535, 8326
5370148, 10805, 5638, 8444
5525271, 11097, 5738, 8560
5681312, 11375, 5840, 8668
5839348, 11660, 5940, 8781
5996011, 11964, 6040, 8888
6154272, 12243, 6150, 9012
6315494, 12713, 6257, 9826
6474566, 13260, 6430, 10955
6632695, 13645, 6556, 11470
6791216, 13973, 6696, 11723
6949352, 14271, 6814, 11918
7105574, 14576, 6937, 12111
7263847, 14892, 7041, 12244
7421485, 15198, 7151, 12377
7578743, 15504, 7255, 12503
7735666, 15804, 7355, 12626
7893857, 16078, 7455, 12743
8050071, 16375, 7555, 12863
8207611, 16674, 7657, 12991
8365854, 16952, 7757, 13103
8521911, 17250, 7857, 13228
8680218, 17537, 7957, 13389
8837411, 17822, 8057, 13546
8994671, 18120, 8159, 13709
9150650, 18420, 8259, 13879
9308880, 18728, 8363, 14042
9466586, 19017, 8463, 14205
9624280, 19295, 8570, 14370
9779939, 19564, 8671, 14531
9936373, 19893, 8771, 14702
10093946, 20209, 8871, 14868
10250499, 20492, 8971, 15019
10406445, 20798, 9075, 15207
10563612, 21093, 9178, 15379
10720763, 21378, 9280, 15543
10876761, 21672, 9384, 15710
11034365, 21970, 9484, 15875
11193264, 22243, 9584, 16032
11350466, 22525, 9688, 16201
11506736, 22809, 9788, 16368
11664753, 23111, 9891, 16549
11820301, 23401, 9991, 16722
11977192, 23706, 10091, 16886
12135268, 24014, 10195, 17053
12294293, 24334, 10295, 17221
12452357, 24621, 10401, 17390
12609656, 24968, 10501, 17564
12766650, 25259, 10605, 17731
12924074, 25579, 10705, 17883
13080727, 25889, 10809, 18045
13238803, 26219, 10909, 18205
13397016, 26537, 11014, 18373
13554489, 26822, 11116, 18523
13709464, 27116, 11220, 18678
13867288, 27450, 11320, 18833
14024897, 27760, 11424, 18992
14183414, 28065, 11524, 19143
14342016, 28356, 11624, 19291
14499040, 28622, 11726, 19451
14656283, 28909, 11832, 19617
14811028, 29208, 11932, 19775
14965021, 29497, 12032, 19931
15121716, 29787, 12132, 20102
15278907, 30078, 12232, 20270
15436546, 30374, 12332, 20428
15595183, 30651, 12432, 20588
15751393, 30932, 12532, 20744
15906225, 31214, 12632, 20894
16063988, 31516, 12732, 21051
16222213, 31815, 12832, 21205
16378090, 32095, 12932, 21355
16534651, 32393, 13032, 21519
16692805, 32689, 13132, 21680
16849163, 32982, 13232, 21843
17004625, 33289, 13332, 21992
17161516, 33559, 13432, 22141
17318213, 33883, 13532, 22304
17476210, 34171, 13632, 22456
17632239, 34456, 13732, 22610
17789933, 34753, 13832, 22774
17945183, 35066, 13932, 22939
18103019, 35362, 14032, 23103
18259089, 35659, 14132, 23251
18414906, 35936, 14232, 23413
18570845, 36235, 14332, 23567
18728304, 36543, 14432, 23717
18886577, 36857, 14536, 23875
19067346, 37321, 14637, 24306
19232980, 37712, 14753, 24999
19390702, 37980, 14861, 25307
19548035, 38256, 14983, 25513
19705515, 38551, 15100, 25726
19863025, 38818, 15204, 25884
20020632, 39093, 15308, 26038
20177115, 39417, 15409, 26239
20335086, 39702, 15509, 26393
20493012, 40011, 15611, 26571
20650618, 40293, 15711, 26722
20808370, 40570, 15819, 26890
20966690, 40897, 15919, 27046
21122839, 41182, 16021, 27173
21279209, 41483, 16121, 27307
21437173, 41803, 16221, 27425
21595207, 42091, 16321, 27531
21752875, 42409, 16421, 27698
21911034, 42709, 16521, 27816
22110615, 43107, 16629, 28187
22334594, 43625, 16730, 28891
22511599, 44096, 16846, 29811
22671215, 44575, 17016, 31373
22829746, 44941, 17156, 31875
22985510, 45275, 17269, 32206
23142967, 45601, 17380, 32443
23300403, 45908, 17485, 32662
23456597, 46219, 17586, 32862
23613749, 46531, 17686, 33077
23770089, 46826, 17786, 33257
23927599, 47151, 17886, 33443
24085413, 47437, 17986, 33614
24243601, 47709, 18086, 33783
24401699, 48040, 18187, 33959
24559168, 48306, 18287, 34136
24717350, 48628, 18389, 34311
24875298, 48933, 18489, 34490
25032596, 49251, 18589, 34670
25188188, 49543, 18689, 34843
25345652, 49862, 18789, 35007
25503610, 50168, 18891, 35179
25658002, 50458, 18992, 35335
25816774, 50773, 19093, 35499
25972863, 51074, 19195, 35665
26131216, 51402, 19297, 35835
26289205, 51675, 19397, 35999
26446645, 51993, 19501, 36177
26602994, 52322, 19601, 36335
26761073, 52618, 19701, 36491
26917798, 52912, 19805, 36664
27073534, 53204, 19905, 36820
27231169, 53494, 20005, 36968
27389935, 53789, 20106, 37128
27547429, 54085, 20206, 37294
27703205, 54388, 20306, 37468
27859449, 54702, 20406, 37635
28018092, 54995, 20506, 37797
28174256, 55281, 20606, 37949
28332228, 55573, 20706, 38104
28490352, 55839, 20806, 38269
28648680, 56154, 20906, 38433
28804652, 56444, 21006, 38588
28961925, 56731, 21106, 38746
29119581, 57044, 21206, 38908
29276601, 57335, 21306, 39061
29433451, 57633, 21406, 39219
29589996, 57946, 21506, 39380
29744622, 58247, 21606, 39551
29900902, 58528, 21706, 39707
30058610, 58788, 21806, 39858
30216882, 59089, 21906, 40012
30374327, 59377, 22006, 40182
30532780, 59672, 22106, 40340
30689628, 59993, 22206, 40502
30846383, 60278, 22306, 40666
31002812, 60562, 22406, 40824
31160912, 60860, 22506, 40983
31317599, 61176, 22607, 41142
31474169, 61467, 22707, 41306
31629864, 61770, 22807, 41464
31785833, 62059, 22911, 41621
31943592, 62343, 23011, 41785
32101913, 62812, 23113, 42286
32256930, 63148, 23240, 42716
32416134, 63482, 23370, 42984
32586791, 63901, 23474, 43477
32747396, 64260, 23574, 43933
32906273, 64558, 23681, 44111
33062339, 64854, 23790, 44375
33219303, 65160, 23897, 44551
33377108, 65460, 23999, 44728
33547730, 65828, 24112, 45085
33706397, 66229, 24232, 45739
33863815, 66545, 24339, 46083
34021887, 66827, 24445, 46359
34176947, 67140, 24554, 46598
34332874, 67450, 24664, 46823
34491294, 67752, 24772, 47033
34696983, 68307, 24893, 47646
34884290, 68706, 25039, 48378
35131326, 69167, 25165, 48935
35305872, 69665, 25283, 49787
35464542, 70019, 25395, 50413
35622526, 70335, 25510, 50691
35781147, 70621, 25643, 50933
35943264, 70954, 25785, 51198
36107261, 71241, 25928, 51419
36264562, 71532, 26073, 51674
36473510, 72111, 26228, 52583
36690854, 72758, 26405, 53908
36908681, 73412, 26551, 55126
37128331, 74084, 26718, 56551
37288613, 74470, 26945, 57364
37446602, 74783, 27143, 57772
37606030, 75082, 27300, 57991
37766641, 75532, 27510, 58853
37927876, 75992, 27693, 59705
38084980, 76364, 27845, 60053
38242631, 76812, 27950, 60626
38400245, 77176, 28066, 61060
38556060, 77499, 28212, 61326
38713576, 77796, 28341, 61562
38869062, 78108, 28473, 61810
39026829, 78394, 28598, 62028
39184649, 78717, 28731, 62268
39341600, 79027, 28859, 62487
39499657, 79329, 28976, 62673
39656068, 79611, 29082, 62849
39813046, 79933, 29192, 63019
39970315, 80223, 29296, 63187
40127926, 80530, 29402, 63352
40284348, 80814, 29504, 63518
40440235, 81111, 29606, 63691
40596787, 81410, 29710, 63875
40753535, 81715, 29810, 64039
40912888, 82030, 29913, 64212
41070622, 82358, 30016, 64377
41234475, 82762, 30122, 64595
41393083, 83078, 30222, 64788
41550743, 83415, 30338, 65005
41708315, 83690, 30463, 65210
41865951, 83993, 30567, 65382
42024968, 84318, 30673, 65554
42182101, 84606, 30775, 65708
42338270, 84922, 30875, 65857
42495823, 85214, 30976, 65987
42652651, 85512, 31088, 66118
42809096, 85810, 31193, 66231
42965396, 86132, 31297, 66353
43121200, 86410, 31405, 66473
43278342, 86708, 31507, 66591
43437662, 86980, 31609, 66713
43594505, 87255, 31711, 66841
43750539, 87533, 31815, 66950
43907012, 87844, 31919, 67065
44064436, 88155, 32019, 67178
44221624, 88467, 32126, 67312
44379384, 88759, 32231, 67425
44539766, 89211, 32418, 68607
44697147, 89530, 32543, 69157
44855688, 89848, 32655, 69500
45018659, 90294, 32765, 69972
45176521, 90654, 32874, 70308
45332736, 90963, 32978, 70572
45491040, 91271, 33082, 70750
45646500, 91584, 33194, 70936
45803250, 91869, 33296, 71098
45959429, 92190, 33402, 71290
46116300, 92495, 33502, 71437
46274128, 92754, 33608, 71581
46431407, 93015, 33712, 71712
46588472, 93310, 33812, 71844
46746526, 93626, 33916, 71961
46903591, 93942, 34018, 72080
47058344, 94238, 34120, 72188
47217004, 94554, 34220, 72308
47374866, 94849, 34320, 72410
47530711, 95148, 34420, 72513
47686806, 95418, 34521, 72623
47842247, 95709, 34621, 72727
48000390, 96002, 34727, 72849
48158117, 96315, 34831, 72960
48316111, 96617, 34931, 73075
48472050, 96919, 35031, 73188
48630272, 97219, 35131, 73302
48785967, 97517, 35231, 73414
48944403, 97777, 35331, 73523
49102434, 98089, 35431, 73632
49258213, 98401, 35531, 73764
49416701, 98717, 35631, 73904
49572213, 99030, 35731, 74055
49727772, 99330, 35831, 74172
49885005, 99648, 35931, 74284
50041199, 99935, 36031, 74399
50197152, 100234, 36131, 74508
50353376, 100521, 36231, 74627
50509509, 100804, 36331, 74738
50667621, 101102, 36437, 74850
50824163, 101401, 36537, 74962
50980568, 101674, 36637, 75063
51136495, 101985, 36737, 75163
51294458, 102292, 36837, 75269
51451120, 102574, 36937, 75378
51609026, 102845, 37037, 75509
51766832, 103160, 37137, 75623
51924674, 103437, 37237, 75752
52081716, 103735, 37337, 75877
52238681, 104059, 37437, 76002
52397184, 104334, 37537, 76113
52554906, 104633, 37637, 76248
52712822, 104932, 37737, 76361
52869859, 105227, 37837, 76492
53024425, 105516, 37937, 76602
53180594, 105784, 38037, 76724
53336269, 106084, 38137, 76840
53493279, 106385, 38237, 76951
53649224, 106681, 38337, 77060
53804123, 106983, 38437, 77171
53962185, 107273, 38537, 77283
54120464, 107576, 38638, 77390
54278105, 107859, 38738, 77494
54434095, 108177, 38838, 77603
54592174, 108478, 38938, 77712
54750497, 108800, 39042, 77827
54906688, 109103, 39142, 77936
55063838, 109408, 39243, 78087
55221021, 109704, 39343, 78252
55377124, 109976, 39443, 78409
55534850, 110252, 39543, 78573
55693156, 110536, 39643, 78743
55849203, 110816, 39743, 78911
56006799, 111116, 39843, 79063
56163268, 111380, 39943, 79227
56321757, 111695, 40043, 79387
56476396, 111972, 40143, 79537
56631541, 112262, 40243, 79691
56788416, 112576, 40343, 79869
56945775, 112879, 40443, 80049
57103007, 113177, 40543, 80223
57259166, 113497, 40643, 80393
57415533, 113833, 40743, 80579
57573986, 114131, 40843, 80753
57730876, 114461, 40943, 80960
57886218, 114735, 41043, 81119
58044433, 115030, 41143, 81292
58202236, 115510, 41264, 82190
58361896, 116073, 41371, 83354
58521654, 116418, 41488, 83916
58677321, 116723, 41597, 84163
58834061, 117006, 41704, 84337
58990293, 117267, 41819, 84499
59146446, 117565, 41927, 84680
59302667, 117840, 42038, 84827
59459387, 118151, 42148, 84974
59617652, 118449, 42254, 85114
59773666, 118747, 42362, 85238
59932052, 119054, 42464, 85356
60089515, 119357, 42565, 85471
60247331, 119654, 42668, 85617
60405973, 119946, 42769, 85735
60562415, 120223, 42873, 85867
60719552, 120522, 42978, 86004
60877474, 120816, 43079, 86140
61033176, 121130, 43181, 86256
61190378, 121456, 43287, 86380
61344451, 121749, 43391, 86506
61501623, 122036, 43493, 86620
61660021, 122343, 43597, 86739
61814948, 122625, 43700, 86846
61972365, 122957, 43804, 86958
62129529, 123265, 43908, 87065
62286794, 123558, 44014, 87192
62444435, 123846, 44118, 87309
62601985, 124121, 44224, 87420
62760747, 124402, 44327, 87534
62918312, 124675, 44429, 87653
63075483, 124944, 44531, 87759
63233081, 125260, 44633, 87867
63390564, 125555, 44735, 87971
63547206, 125850, 44837, 88083
63704275, 126145, 44937, 88185
63863274, 126440, 45037, 88303
64020278, 126718, 45137, 88416
64176897, 127010, 45237, 88531
64334028, 127328, 45337, 88643
64491384, 127622, 45437, 88760
64649208, 127929, 45537, 88874
64804573, 128207, 45638, 88990
64962831, 128512, 45744, 89107
65120203, 128809, 45847, 89214
65277602, 129087, 45947, 89340
65433355, 129383, 46052, 89453
65591974, 129808, 46164, 90128
65749409, 130131, 46265, 90491
65905314, 130430, 46365, 90725
66062340, 130741, 46465, 90946
66220170, 131049, 46569, 91146
66378069, 131327, 46673, 91303
66536158, 131639, 46773, 91470
66694089, 131937, 46877, 91633
66850107, 132221, 46982, 91802
67004845, 132497, 47086, 91943
67162360, 132805, 47194, 92098
67321426, 133111, 47306, 92243
67478813, 133413, 47412, 92382
67638426, 133723, 47518, 92503
67796437, 134035, 47627, 92627
67954239, 134336, 47731, 92794
68110094, 134642, 47833, 92957
68265452, 134921, 47935, 93122
68422062, 135215, 48035, 93287
68579189, 135526, 48135, 93456
68735991, 135815, 48235, 93633
68894225, 136075, 48335, 93794
69050292, 136394, 48435, 93972
69208035, 136707, 48535, 94136
69363621, 136980, 48635, 94308
69520791, 137269, 48735, 94465
69677442, 137562, 48835, 94631
69835102, 137838, 48935, 94793
69993173, 138130, 49035, 94957
70149647, 138423, 49135, 95112
70307158, 138734, 49235, 95289
70465592, 139035, 49335, 95452
70628619, 139455, 49435, 95837
70786537, 139789, 49535, 96176
70943798, 140127, 49635, 96442
71101347, 140438, 49737, 96644
71258704, 140718, 49837, 96821
71416100, 141013, 49939, 96979
71574182, 141304, 50041, 97122
71734267, 141597, 50141, 97277
71891949, 141891, 50241, 97402
72047753, 142197, 50341, 97538
72204702, 142495, 50441, 97653
72362388, 142789, 50541, 97763
72519443, 143085, 50641, 97869
72676087, 143406, 50741, 97984
72834565, 143705, 50841, 98095
72989407, 143999, 50941, 98212
73145436, 144301, 51041, 98330
73301839, 144615, 51141, 98463
73460084, 144906, 51243, 98594
73617641, 145170, 51343, 98713
73775480, 145456, 51443, 98823
73933746, 145761, 51543, 98939
74091349, 146064, 51643, 99063
74249397, 146396, 51743, 99177
74407787, 146684, 51843, 99287
74565080, 146964, 51943, 99397
74723299, 147291, 52043, 99527
74881359, 147580, 52143, 99663
75039573, 147858, 52243, 99790
75194956, 148183, 52343, 99905
75351715, 148479, 52445, 100026
75508293, 148743, 52545, 100158
75666028, 149022, 52645, 100271
75829430, 149367, 52746, 100475
76091543, 149964, 52851, 101260
76261550, 150409, 52974, 102164
76418280, 150720, 53085, 102667
76576096, 151034, 53187, 102898
76734021, 151316, 53290, 103107
76892219, 151624, 53392, 103323
77049731, 151932, 53494, 103518
77208194, 152236, 53602, 103701
77363483, 152537, 53707, 103873
77520476, 152864, 53808, 104023
77677056, 153163, 53912, 104167
77834668, 153443, 54015, 104303
77992801, 153746, 54115, 104446
78150536, 154054, 54215, 104567
78306965, 154335, 54316, 104764
78464447, 154635, 54416, 104882
78622861, 154967, 54516, 105005
78779340, 155286, 54616, 105142
78937181, 155582, 54717, 105308
79095173, 155880, 54822, 105493
79252845, 156190, 54922, 105676
79411099, 156469, 55028, 105864
79565343, 156755, 55128, 106048
79721153, 157046, 55228, 106239
79878223, 157373, 55328, 106426
80034904, 157666, 55428, 106586
80192798, 157940, 55532, 106752
80350308, 158224, 55632, 106913
80505564, 158506, 55732, 107086
80662925, 158779, 55832, 107247
80818519, 159075, 55932, 107411
80975052, 159358, 56032, 107560
81130599, 159629, 56132, 107736
81288679, 159925, 56232, 107887
81447078, 160189, 56337, 108056
81599985, 160489, 56441, 108214
81756280, 160796, 56541, 108379
81914030, 161080, 56641, 108528
82072437, 161382, 56741, 108687
82229894, 161661, 56841, 108847
82385898, 161960, 56941, 109006
82541044, 162246, 57041, 109158
82697877, 162565, 57159, 109342
82853748, 162845, 57275, 109516
83010092, 163133, 57375, 109705
83168147, 163442, 57477, 109871
83324758, 163729, 57579, 110048
83482740, 164019, 57679, 110213
83637722, 164316, 57783, 110381
83797747, 164771, 57884, 111296
83955516, 165120, 57986, 111930
84114020, 165414, 58088, 112222
84271913, 165732, 58196, 112507
84429493, 166051, 58302, 112759
84586600, 166374, 58406, 112972
84743964, 166674, 58513, 113186
84901796, 166998, 58615, 113400
85057836, 167320, 58715, 113595
85215395, 167654, 58815, 113803
85371147, 167975, 58915, 113971
85528216, 168321, 59015, 114189
85686900, 168628, 59115, 114324
85841792, 168942, 59215, 114459
85999477, 169269, 59317, 114598
86169886, 169735, 59418, 115501
86332918, 170112, 59526, 116179
86487319, 170443, 59629, 116596
86646166, 170742, 59729, 116805
86801864, 171069, 59839, 117040
86973046, 171478, 59943, 117355
87131489, 171850, 60050, 117942
87289326, 172154, 60158, 118255
87445534, 172460, 60275, 118518
87600926, 172799, 60389, 118711
87808239, 173382, 60504, 119368
87991588, 173729, 60614, 120113
88238169, 174197, 60719, 120637
88416005, 174707, 60841, 121623
88573333, 175060, 60949, 122221
88733563, 175395, 61068, 122585
88893264, 175666, 61203, 122862
89052143, 175991, 61364, 123111
89210196, 176308, 61506, 123338
89406156, 176832, 61642, 123974
89628262, 177512, 61798, 125152
89843962, 178162, 61935, 126350
90057496, 178818, 62081, 127667
90214387, 179170, 62272, 128467
90370285, 179502, 62465, 128838
90525437, 179828, 62611, 129099
90681858, 180136, 62741, 129284
90841758, 180626, 62941, 130316
91000435, 181079, 63131, 131092
91159921, 181574, 63236, 131731
91317958, 181922, 63340, 132171
91473980, 182264, 63444, 132518
91630641, 182577, 63549, 132731
91788432, 182910, 63653, 132953
91945107, 183228, 63755, 133143
92102681, 183540, 63862, 133339
92260189, 183833, 63974, 133530
92417136, 184107, 64086, 133725
92573669, 184410, 64205, 133905
92731202, 184705, 64311, 134079
92887335, 184978, 64419, 134257
93044370, 185264, 64524, 134436
93201819, 185556, 64636, 134604
93358507, 185859, 64746, 134771
93514554, 186160, 64855, 134954
93667928, 186429, 64956, 135115
93824368, 186724, 65062, 135280
93982091, 187042, 65173, 135455
94137097, 187351, 65283, 135626
94300096, 187682, 65387, 135830
94454129, 187984, 65489, 136010
94610371, 188288, 65593, 136175
94767332, 188593, 65697, 136315
94924496, 188918, 65821, 136498
95082464, 189241, 65923, 136634
95240690, 189531, 66024, 136770
95397773, 189820, 66125, 136936
95555193, 190091, 66227, 137063
95712592, 190381, 66327, 137180
95869802, 190683, 66427, 137287
96027772, 190969, 66527, 137411
96184742, 191250, 66627, 137529
96342019, 191547, 66727, 137644
96499335, 191865, 66827, 137764
96667082, 192264, 66930, 138136
96824788, 192641, 67036, 138729
96982264, 192952, 67154, 139085
97139822, 193275, 67264, 139333
97297218, 193593, 67375, 139548
97454516, 193887, 67485, 139740
97612251, 194179, 67604, 139928
97769716, 194460, 67711, 140083
97927914, 194768, 67821, 140229
98082099, 195075, 67930, 140403
98237749, 195360, 68038, 140528
98395665, 195655, 68142, 140647
98551016, 195957, 68246, 140769
98708245, 196262, 68350, 140893
98865946, 196567, 68458, 141013
99021925, 196849, 68558, 141127
99180836, 197156, 68662, 141255
99337870, 197464, 68762, 141376
99495982, 197738, 68866, 141494
99652506, 197997, 68966, 141609
99810658, 198316, 69068, 141735
99965797, 198615, 69168, 141847
100124426, 198901, 69272, 141971
100283134, 199215, 69372, 142084
100439127, 199524, 69474, 142207
100596714, 199826, 69574, 142328
100755279, 200130, 69676, 142456
100912367, 200432, 69778, 142586
101070377, 200723, 69878, 142708
101228650, 201019, 69980, 142843
101385262, 201327, 70080, 142993
101542977, 201602, 70180, 143121
101700758, 201907, 70286, 143244
101858955, 202228, 70386, 143352
102016795, 202549, 70487, 143463
102172351, 202861, 70587, 143591
102328156, 203169, 70687, 143707
102483267, 203440, 70787, 143814
102640855, 203732, 70887, 143925
102797372, 204024, 70987, 144045
102954118, 204331, 71087, 144207
103109901, 204634, 71187, 144368
103264813, 204918, 71287, 144530
103421823, 205218, 71387, 144695
103579819, 205503, 71487, 144858
103737259, 205795, 71587, 145025
103894379, 206092, 71687, 145199
104050229, 206359, 71787, 145385
104207739, 206644, 71887, 145557
104365422, 206933, 71987, 145739
104523001, 207206, 72087, 145928
104677738, 207490, 72187, 146101
104836189, 207783, 72287, 146281
104993692, 208078, 72387, 146455
105151339, 208371, 72487, 146621
105309977, 208654, 72587, 146773
105466128, 208950, 72687, 146926
105623822, 209248, 72787, 147095
105779555, 209550, 72887, 147247
105936726, 209844, 72987, 147395
106094966, 210134, 73087, 147576
106250193, 210452, 73189, 147735
106408484, 210902, 73331, 148752
106564179, 211240, 73461, 149211
106721619, 211525, 73581, 149505
106879321, 211822, 73695, 149750
107036740, 212123, 73801, 149973
107192972, 212412, 73905, 150189
107351497, 212712, 74007, 150397
107508129, 212985, 74107, 150589
107662307, 213289, 74209, 150774
107818624, 213582, 74313, 150954
107974519, 213874, 74417, 151139
108132728, 214193, 74521, 151315
108289287, 214520, 74625, 151491
108447766, 214821, 74725, 151649
108604004, 215106, 74829, 151822
108760083, 215402, 74937, 151990
108915796, 215698, 75040, 152162
109070531, 215995, 75144, 152345
109229193, 216287, 75246, 152537
109386755, 216591, 75348, 152722
109544138, 216912, 75452, 152932
109698672, 217215, 75552, 153109
109858699, 217761, 75667, 154146
110018473, 218242, 75775, 155153
110173918, 218569, 75879, 155609
110330741, 218868, 75985, 155874
110488958, 219173, 76089, 156075
110642831, 219481, 76197, 156244
110801571, 219797, 76302, 156398
110959429, 220107, 76417, 156570
111117616, 220408, 76523, 156704
111275034, 220730, 76628, 156842
111430178, 221051, 76731, 156983
111588129, 221351, 76835, 157112
111746296, 221685, 76938, 157246
111904067, 221972, 77042, 157365
112061795, 222256, 77145, 157496
112219782, 222564, 77248, 157614
112377764, 222865, 77349, 157734
112531571, 223154, 77451, 157852
112687175, 223437, 77555, 157982
112844239, 223732, 77658, 158105
113001723, 224014, 77759, 158216
113157707, 224321, 77859, 158327
113315650, 224607, 77959, 158433
113472944, 224912, 78059, 158543
113628608, 225214, 78159, 158651
113786331, 225484, 78259, 158772
113946594, 225801, 78359, 158887
114103868, 226106, 78459, 159003
114260047, 226392, 78559, 159124
114418195, 226703, 78659, 159240
114576048, 226985, 78761, 159353
114734176, 227287, 78865, 159478
114889957, 227587, 78965, 159583
115046943, 227898, 79065, 159697
115204245, 228199, 79165, 159815
115361495, 228487, 79265, 159936
115519241, 228774, 79365, 160050
115677186, 229062, 79465, 160165
115833787, 229349, 79565, 160290
115991171, 229649, 79665, 160415
116145572, 229943, 79765, 160522
116301855, 230246, 79865, 160627
116457923, 230548, 79965, 160739
116613509, 230898, 80065, 160850
116770914, 231206, 80165, 160964
116927265, 231486, 80265, 161069
117084781, 231789, 80365, 161180
117241983, 232102, 80469, 161295
117399618, 232448, 80569, 161402
117557044, 232751, 80673, 161515
117714246, 233041, 80773, 161623
117870671, 233346, 80873, 161787
118026550, 233641, 80973, 161898
118182772, 233933, 81073, 162015
118341345, 234237, 81173, 162133
118499221, 234520, 81273, 162248
118655353, 234802, 81373, 162391
118813158, 235109, 81473, 162513
118970905, 235405, 81573, 162663
119127168, 235707, 81673, 162786
119284518, 236022, 81773, 162894
119441031, 236295, 81873, 163006
119598183, 236609, 81973, 163121
119755764, 236912, 82073, 163239
119912207, 237202, 82175, 163347
120069245, 237508, 82275, 163456
120223980, 237831, 82375, 163567
120380049, 238138, 82475, 163686
120534544, 238427, 82575, 163789
120691274, 238719, 82675, 163906
120847179, 239043, 82775, 164007
121001904, 239340, 82875, 164112
121159762, 239651, 82975, 164246
121314799, 239941, 83075, 164355
121471571, 240257, 83175, 164461
121627553, 240561, 83275, 164565
121783650, 240877, 83375, 164673
121938120, 241178, 83475, 164783
122096923, 241472, 83575, 164895
122259131, 241892, 83675, 165185
122416353, 242246, 83775, 165515
122574621, 242554, 83877, 165790
122732762, 242871, 83977, 165979
122890198, 243145, 84077, 166137
123048430, 243415, 84179, 166274
123204082, 243719, 84281, 166416
123360856, 244050, 84381, 166570
123518713, 244346, 84485, 166705
123676408, 244646, 84586, 166837
123833508, 244969, 84686, 166966
123991438, 245269, 84786, 167083
124146077, 245594, 84886, 167198
124304407, 245894, 84986, 167319
124462159, 246200, 85086, 167427
124617847, 246479, 85186, 167542
124773899, 246753, 85286, 167662
124932948, 247032, 85386, 167773
125088612, 247314, 85486, 167900
125246689, 247630, 85586, 168021
125404690, 247931, 85686, 168143
125562882, 248240, 85786, 168265
125717109, 248528, 85886, 168404
