PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
13204, 165, 362, 835
208312, 591, 994, 1850
389584, 923, 1102, 1985
546436, 1168, 1204, 2106
702741, 1395, 1310, 2247
860870, 1635, 1418, 2354
1015445, 1847, 1525, 2461
1170334, 2068, 1633, 2570
1325486, 2272, 1740, 2681
1483972, 2518, 1844, 2784
1638202, 2750, 1944, 2885
1792590, 2987, 2044, 2989
1948638, 3215, 2144, 3089
2102302, 3429, 2244, 3189
2260597, 3659, 2344, 3293
2414247, 3882, 2444, 3393
2569737, 4100, 2547, 3500
2724783, 4332, 2650, 3606
2879679, 4581, 2753, 3715
3035106, 4802, 2856, 3822
3189167, 5017, 2956, 3922
3343551, 5260, 3064, 4040
3499617, 5478, 3164, 4148
3656321, 5712, 3265, 4250
3812271, 5948, 3367, 4358
3968423, 6160, 3467, 4462
4123087, 6390, 3567, 4568
4278849, 6615, 3675, 4676
4433412, 6852, 3775, 4780
4591881, 7078, 3875, 4888
4746656, 7286, 3975, 4992
4900238, 7487, 4075, 5100
5056164, 7696, 4175, 5200
5211602, 7927, 4275, 5312
5365743, 8207, 4401, 5519
5521793, 8474, 4532, 5745
5678018, 8713, 4636, 5862
5832604, 8940, 4736, 5989
5990172, 9181, 4848, 6105
6145834, 9426, 4956, 6214
6301911, 9664, 5062, 6320
6458216, 9889, 5168, 6426
6618996, 10124, 5268, 6526
6774317, 10359, 5370, 6628
6930292, 10565, 5472, 6730
7083180, 10772, 5574, 6832
7238191, 10997, 5674, 6932
7391876, 11202, 5774, 7032
7546168, 11428, 5874, 7133
7703713, 11661, 5974, 7233
7858285, 11885, 6074, 7333
8013003, 12106, 6174, 7434
8169637, 12336, 6277, 7537
8325063, 12545, 6377, 7647
8478463, 12758, 6477, 7756
8633027, 12976, 6577, 7858
8789656, 13208, 6677, 7958
8946891, 13447, 6778, 8060
9101639, 13653, 6878, 8160
9257367, 13883, 6978, 8260
9412464, 14136, 7078, 8360
9568450, 14354, 7178, 8460
9724601, 14594, 7278, 8560
9879492, 14818, 7382, 8664
10032596, 15046, 7482, 8765
