PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
11650, 196, 536, 1159
170496, 759, 1230, 2387
369313, 1521, 1401, 3077
562019, 2209, 1634, 4158
723690, 2555, 1862, 4871
887419, 2845, 2070, 5275
1048602, 3147, 2275, 5570
1214045, 3452, 2441, 5822
1377895, 3750, 2604, 6024
1573323, 4225, 2765, 6392
1788932, 4841, 2972, 7261
2006079, 5433, 3129, 8064
2228435, 6051, 3292, 9200
2424262, 6593, 3481, 10204
2582606, 6943, 3667, 10842
2738568, 7261, 3853, 11127
2896412, 7583, 4024, 11347
3054655, 7877, 4159, 11532
3212137, 8171, 4290, 11699
3370433, 8475, 4412, 11852
3526608, 8774, 4539, 12011
3685097, 9067, 4658, 12152
3842569, 9327, 4776, 12299
3999322, 9596, 4896, 12446
4156861, 9919, 5010, 12579
4315151, 10187, 5120, 12692
4472598, 10477, 5232, 12819
4632185, 10781, 5346, 12936
4795143, 11215, 5507, 13523
4951121, 11540, 5655, 13916
5107460, 11837, 5801, 14141
5264388, 12144, 5929, 14333
5420473, 12418, 6037, 14471
5576847, 12683, 6143, 14623
5734871, 12983, 6251, 14768
5892559, 13291, 6357, 14885
6048977, 13570, 6472, 15021
6203502, 13816, 6592, 15146
6357477, 14098, 6701, 15281
6515556, 14405, 6813, 15405
6671912, 14710, 6916, 15520
6827225, 14988, 7020, 15637
6983590, 15300, 7126, 15749
7142195, 15591, 7230, 15854
7298545, 15881, 7341, 15970
7456039, 16125, 7445, 16086
7613044, 16400, 7553, 16191
7770139, 16689, 7657, 16295
7928073, 16983, 7759, 16397
8084849, 17263, 7862, 16512
8241240, 17540, 7970, 16620
8399199, 17825, 8076, 16726
8557022, 18108, 8179, 16839
8714167, 18383, 8281, 16946
8870476, 18692, 8383, 17053
9026233, 18959, 8491, 17163
9182719, 19256, 8591, 17272
9340774, 19524, 8691, 17378
9495911, 19799, 8793, 17483
9650412, 20078, 8896, 17595
9807208, 20361, 8999, 17711
