PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
10952, 179, 517, 1138
163809, 703, 1165, 2261
306412, 1128, 1326, 2525
448701, 1569, 1458, 2727
590730, 1984, 1586, 2900
734414, 2405, 1699, 3034
877119, 2843, 1821, 3184
1019677, 3264, 1932, 3340
1162686, 3672, 2049, 3481
1304620, 4098, 2153, 3605
1447104, 4526, 2257, 3727
1589725, 4943, 2361, 3843
1732761, 5361, 2495, 4030
1875827, 5804, 2597, 4204
2017680, 6240, 2700, 4372
2161666, 6801, 2914, 4820
2305192, 7275, 3042, 5192
2447050, 7722, 3155, 5372
2589453, 8138, 3259, 5520
2732457, 8605, 3366, 5677
2874694, 9038, 3466, 5819
3016997, 9450, 3566, 5941
3159751, 9836, 3666, 6058
3302514, 10242, 3768, 6172
3444463, 10693, 3871, 6289
3586775, 11151, 3971, 6398
3729567, 11596, 4071, 6508
3871797, 11996, 4171, 6618
4014927, 12397, 4271, 6726
4156938, 12783, 4372, 6834
4300087, 13213, 4472, 6943
4442541, 13641, 4572, 7056
4584408, 14041, 4672, 7169
4726980, 14464, 4772, 7281
4869026, 14907, 4875, 7390
5011949, 15362, 4975, 7500
5154584, 15777, 5076, 7618
5299889, 16312, 5178, 7769
5443005, 16764, 5278, 7912
5585944, 17191, 5378, 8018
5728010, 17625, 5478, 8136
5870361, 18065, 5578, 8244
6013111, 18532, 5679, 8358
6155716, 18970, 5779, 8462
6298245, 19399, 5879, 8568
6441462, 19801, 5979, 8670
6584060, 20224, 6079, 8770
6726633, 20669, 6179, 8870
6868968, 21099, 6279, 8995
7011378, 21521, 6379, 9152
7153896, 21947, 6479, 9300
7299895, 22349, 6579, 9475
7444500, 22817, 6679, 9623
7589484, 23259, 6779, 9776
7733741, 23672, 6879, 9932
7877090, 24085, 6979, 10080
8020798, 24511, 7079, 10228
8164265, 24921, 7179, 10382
8308454, 25338, 7279, 10532
8452652, 25789, 7379, 10680
8596813, 26232, 7479, 10830
8740306, 26664, 7579, 10986
8883898, 27068, 7679, 11134
9030781, 27613, 7779, 11290
9174909, 28052, 7879, 11408
9318644, 28460, 7979, 11518
9463497, 28886, 8079, 11621
9607428, 29314, 8179, 11725
9751172, 29787, 8279, 11829
9895427, 30193, 8379, 11933
10038627, 30609, 8479, 12035
10182206, 31048, 8579, 12135
10326139, 31470, 8679, 12235
10469882, 31891, 8779, 12338
10613891, 32293, 8879, 12438
10757495, 32686, 8979, 12538
10901854, 33106, 9079, 12638
11045651, 33522, 9179, 12738
11188741, 33971, 9279, 12838
11332987, 34408, 9379, 12938
11477144, 34796, 9479, 13038
11621796, 35206, 9579, 13138
11764629, 35623, 9679, 13238
11908113, 36071, 9779, 13338
12051975, 36472, 9879, 13440
12196463, 36896, 9979, 13540
12340041, 37313, 10079, 13646
12483450, 37711, 10179, 13779
12626433, 38112, 10279, 13931
12769828, 38553, 10379, 14080
12914103, 38994, 10479, 14240
13057306, 39428, 10579, 14388
13200614, 39862, 10679, 14542
13349884, 40189, 10779, 14698
13497057, 40505, 10883, 14854
13644488, 40804, 10983, 15002
13790743, 41117, 11083, 15150
