17,2,1904,58,20120
10173,833,80644542,3022285,849226485
5011,257,81411726,3058228,857076826
2025,67,82143695,3081629,864847254
1877,58,82253666,3084686,866158754
3128,444,82317594,3081665,866787042
5295,584,82200284,3072473,865807569
2287,307,81950496,3069051,862913929
3185,216,81771070,3081044,860928609
1756,60,82156435,3105364,865290568
1664,16,82381479,3114000,868121469
1637,62,82362883,3110790,868087731
3073,337,82158305,3097569,865853980
1798,136,82695019,3105284,871708730
2056,84,82950575,3112795,874742149
1820,184,82909515,3114120,874484113
2119,170,82895895,3106602,874202040
1877,67,83022263,3115261,875478736
4174,471,83045697,3118879,876246913
1981,49,82983958,3129501,875453900
2282,412,82921763,3128642,874666477
4757,597,83119825,3125905,876857781
3187,154,83074409,3129983,876610523
1741,71,83027133,3128335,875936430
3222,201,82847711,3110051,873638170
1977,53,83085160,3122706,876597609
1912,50,82961845,3117398,875210301
2368,53,82644497,3103623,871477042
2493,78,82478226,3088547,869372559
1728,27,82826544,3114800,873720247
3679,150,82606903,3110828,871421566
1899,67,82628447,3117298,871489869
2044,36,82676031,3118049,871968351
1920,113,83106623,3127365,877069663
2093,45,83082512,3135272,876831654
1996,246,82957100,3121974,875152763
5161,651,83252777,3126951,878894507
1884,86,83823279,3143431,885027281
2808,250,83675023,3129814,883171278
1578,53,83690925,3124941,883772416
1835,31,83792150,3129701,885012217
1521,40,83689350,3115959,883679100
2916,145,83722867,3113319,884418972
2110,98,84016559,3127374,887640740
1934,71,83941604,3117207,886632368
1962,46,84219946,3126408,889984086
1710,34,84205045,3130217,889847415
1911,34,84155788,3118155,889179196
4642,270,84182046,3127817,889857459
2064,63,84233814,3133098,890244803
1826,251,84334125,3136056,891418163
3410,599,84473126,3143626,893073688
1853,113,84264625,3141261,890694551
2558,135,84571413,3149517,894240979
4151,260,84543768,3151907,893908073
3153,133,83987410,3130324,888011691
1955,47,84662339,3155942,895350204
3145,191,84573175,3150305,894219766
2726,104,84718133,3153174,896040760
1770,46,84688619,3158379,895657808
3643,275,84670254,3149626,895501997
2045,82,84798617,3157445,896991054
1618,50,84710247,3154378,895919748
1693,61,84887149,3157313,898028416
2119,54,84776665,3160843,896746279
2681,224,84930979,3154880,898522774
6497,928,84781506,3154800,896917137
2062,230,84844660,3156362,897614602
2238,190,84968462,3159430,899032340
1699,46,84880716,3158378,897999267
1692,22,85054514,3159747,899990365
1688,67,84947242,3161189,898764236
3638,316,84901026,3148997,898403055
1743,62,85063700,3164149,900092078
2121,325,85080579,3162278,900293885
2166,178,85101752,3166772,900522340
2537,76,85064496,3163976,900152591
1661,40,85215893,3164528,901838563
4552,560,84803459,3153624,897407677
1748,60,85599595,3170745,905938692
1790,112,85946578,3183295,909520356
4028,753,85613872,3167313,906098438
1819,65,85230874,3165932,901985255
1918,134,85330314,3161314,903136713
3692,243,85235205,3159864,902112246
1915,80,85362614,3160131,903504401
1800,49,85406482,3163144,903952893
2066,61,85380696,3163105,903684751
1990,49,85398487,3159962,903934351
1815,14,85364910,3160600,903539556
3497,231,85465200,3152949,904640043
1987,91,85884741,3166994,909065527
1723,83,85504620,3155549,905103166
1947,67,85448392,3158231,904454802
2104,61,85534782,3154315,905459221
2108,67,85523749,3158635,905284076
3248,578,85684094,3158267,907052220
2447,171,86024035,3169569,910597067
2426,104,85605291,3154121,906215047
2056,46,85555589,3156130,905675409
1752,69,85604807,3155651,906222913
1547,25,85597992,3157633,906126943
3807,334,85452279,3146760,904621310
2358,172,85585899,3150323,906046453
1823,49,85597647,3150426,906176217
1691,80,85598453,3149802,906227420
2117,62,85610596,3153158,906337909
2514,43,85661670,3150905,906879581
5731,264,84675412,3118395,896406473
1928,80,85686641,3151186,907165187
11340,2197,83819220,3085393,887357519
15128,6303,70169686,2577751,742901106
5963,1128,85454207,3141516,904721711
1760,213,85712621,3150433,907439261
2163,64,85739314,3149411,907747966
2292,62,85733131,3149704,907660826
1871,89,85788360,3151765,908279919
2337,48,85769386,3147658,908061084
2742,68,85731026,3148112,907677576
1549,40,85774602,3146875,908153184
1716,21,85777502,3146129,908171371
2000,40,85775171,3148070,908190635
2161,61,85751840,3147008,907895127
2123,40,85824913,3146553,908715324
2509,34,85778989,3145950,908224896
1979,18,85799209,3146497,908466691
6970,867,84789452,3110623,897740062
2200,93,85828480,3145917,908762386
2193,97,85856030,3146219,909038872
1557,53,85837866,3144075,908873585
2012,38,85797374,3146218,908431240
1500,10,85841696,3144067,908950974
1678,49,85829949,3145089,908780042
1500,25,85859958,3143908,909148428
1986,41,85835985,3145130,908859312
1857,37,85871986,3147550,909268889
2050,38,85846721,3145700,908987980
1822,8,85897269,3145011,909523526
1851,20,85845329,3148202,908973248
1674,21,85884626,3145544,909410000
1525,12,85840850,3145665,908921768
3529,625,85631144,3135226,906741498
2553,169,85811572,3140850,908625709
2164,217,85878049,3144325,909345079
1856,87,85849841,3144815,909031192
1933,51,85899555,3144678,909575687
2421,96,85927886,3141958,909859507
2157,51,85892848,3143379,909500771
2129,15,85924946,3141081,909841361
2054,23,85943366,3147085,910057157
1729,30,85983311,3144665,910473370
1471,11,85990550,3142989,910561218
2134,63,85950272,3145302,910121554
1642,33,85972285,3145194,910372146
1948,34,85944591,3145331,910066968
1747,16,85931856,3145102,909942202
3733,556,85726630,3135365,907752331
1989,107,85958659,3137610,910257595
2707,128,85940089,3138758,910025956
1902,61,85941200,3139571,910052446
1544,29,85922410,3142655,909831020
1921,36,85965534,3138949,910321773
1471,15,85948292,3142926,910120308
1946,50,85990813,3138493,910621841
2188,49,85937960,3139762,910019235
1786,22,85964009,3138047,910319027
1961,38,85948267,3139405,910161761
1892,52,85965365,3138217,910339343
2045,40,85963925,3139528,910311940
1926,45,86031582,3140642,911039411
1577,7,85972528,3139937,910404941
3990,730,85814704,3132301,908731702
2900,170,85947607,3139358,910152656
2090,62,85971520,3139573,910400122
1849,38,85975360,3137781,910467167
1843,32,86007703,3139447,910792197
