PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
14175, 182, 548, 1201
182149, 566, 1120, 2262
340422, 851, 1311, 2499
498139, 1126, 1471, 2679
655036, 1403, 1604, 2847
810811, 1687, 1732, 3025
968697, 1970, 1840, 3172
1122979, 2206, 1943, 3304
1278544, 2481, 2049, 3420
1436152, 2736, 2149, 3533
1594575, 3026, 2257, 3658
1750606, 3298, 2359, 3780
1912870, 3685, 2561, 4127
2068424, 4011, 2696, 4380
2225519, 4307, 2798, 4526
2382219, 4618, 2898, 4658
2536117, 4946, 3006, 4804
2691263, 5240, 3159, 5024
2848223, 5532, 3267, 5205
3005811, 5806, 3377, 5392
3163980, 6114, 3485, 5563
3320783, 6418, 3593, 5756
3476738, 6668, 3701, 5919
3631915, 6945, 3803, 6104
3788695, 7211, 3903, 6260
3945120, 7493, 4003, 6418
4099369, 7783, 4103, 6575
4255240, 8042, 4203, 6735
4412943, 8313, 4303, 6883
4570190, 8598, 4407, 7040
4727607, 8889, 4507, 7206
4883791, 9149, 4607, 7367
5040041, 9419, 4711, 7528
5196110, 9684, 4811, 7685
5353041, 9958, 4911, 7847
5510653, 10212, 5011, 7997
5668355, 10500, 5111, 8154
5825884, 10795, 5211, 8314
5979850, 11062, 5311, 8474
6135957, 11323, 5411, 8623
6293511, 11593, 5511, 8776
6450622, 11855, 5615, 8944
6606455, 12104, 5715, 9095
6764063, 12361, 5815, 9250
7000219, 12606, 5937, 9426
7157868, 12887, 6040, 9590
7312258, 13141, 6144, 9746
7469735, 13399, 6245, 9901
7626768, 13680, 6345, 10060
7784032, 13962, 6445, 10209
7939932, 14232, 6545, 10364
8096607, 14497, 6645, 10517
8254909, 14745, 6747, 10684
8411288, 14998, 6853, 10842
8568542, 15272, 6954, 10997
8726130, 15520, 7054, 11156
8883009, 15769, 7154, 11304
9041109, 16004, 7256, 11460
9198506, 16265, 7356, 11608
9356098, 16504, 7456, 11768
9510416, 16780, 7561, 11921
9666941, 17051, 7673, 12090
9821050, 17296, 7777, 12248
9978480, 17569, 7883, 12409
10134332, 17830, 7985, 12563
10291740, 18080, 8085, 12715
10449721, 18334, 8187, 12875
10607705, 18600, 8287, 13032
10766057, 18861, 8393, 13187
10922202, 19132, 8493, 13338
11077881, 19386, 8595, 13499
11235098, 19639, 8695, 13649
11390623, 19893, 8795, 13798
11546118, 20156, 8896, 13955
11703601, 20436, 8996, 14108
11862457, 20684, 9096, 14258
12019148, 20947, 9196, 14406
12175861, 21230, 9299, 14566
